Library,BarCode,Category,Read
SLX-9792,D709_D501,Rescued,31317029
SLX-9792,D709_D502,Rescued,35739359
SLX-9792,D709_D503,Rescued,32219225
SLX-9792,D709_D504,Rescued,34219723
SLX-9792,D709_D505,Rescued,37066782
SLX-9792,D709_D506,Rescued,26705723
SLX-9792,D709_D507,Rescued,32773203
SLX-9792,D709_D508,Rescued,31447634
SLX-9792,D710_D501,Rescued,34804129
SLX-9792,D710_D502,Rescued,34192091
SLX-9792,D710_D503,Rescued,32248645
SLX-9792,D710_D504,Rescued,30800279
SLX-9792,D710_D505,Rescued,25897148
SLX-9792,D710_D506,Rescued,33864089
SLX-9792,D710_D507,Rescued,26714804
SLX-9792,D710_D508,Rescued,25654366
SLX-9792,D711_D507,Rescued,42196898
SLX-9792,D711_D508,Rescued,39127425
SLX-9792,D712_D501,Rescued,33588170
SLX-9792,D712_D502,Rescued,26323124
SLX-9792,D712_D505,Rescued,43259180
SLX-9792,D712_D506,Rescued,43667081
SLX-9792,D701_D501,Unmapped,6139258
SLX-9792,D701_D502,Unmapped,5930661
SLX-9792,D701_D503,Unmapped,5859021
SLX-9792,D701_D504,Unmapped,5451935
SLX-9792,D701_D505,Unmapped,5700562
SLX-9792,D701_D506,Unmapped,6004007
SLX-9792,D701_D507,Unmapped,5491800
SLX-9792,D701_D508,Unmapped,6240501
SLX-9792,D709_D501,Unmapped,7430704
SLX-9792,D709_D502,Unmapped,6907469
SLX-9792,D709_D503,Unmapped,6658179
SLX-9792,D709_D504,Unmapped,7224067
SLX-9792,D709_D505,Unmapped,6710861
SLX-9792,D709_D506,Unmapped,6238009
SLX-9792,D709_D507,Unmapped,6018899
SLX-9792,D709_D508,Unmapped,5994957
SLX-9792,D710_D501,Unmapped,7144084
SLX-9792,D710_D502,Unmapped,7945553
SLX-9792,D710_D503,Unmapped,7362195
SLX-9792,D710_D504,Unmapped,7187807
SLX-9792,D710_D505,Unmapped,6052115
SLX-9792,D710_D506,Unmapped,7616129
SLX-9792,D710_D507,Unmapped,6867701
SLX-9792,D710_D508,Unmapped,5953137
SLX-9792,D711_D507,Unmapped,7887044
SLX-9792,D711_D508,Unmapped,6814892
SLX-9792,D712_D501,Unmapped,6474481
SLX-9792,D712_D502,Unmapped,6625876
SLX-9792,D712_D505,Unmapped,9601025
SLX-9792,D712_D506,Unmapped,7553301
SLX-10284,D701_D501,Mapped,74455232
SLX-10284,D701_D502,Mapped,75004574
SLX-10284,D701_D503,Mapped,69539350
SLX-10284,D701_D504,Mapped,71279031
SLX-10284,D701_D505,Mapped,67115480
SLX-10284,D701_D506,Mapped,63710388
SLX-10284,D701_D507,Mapped,67372902
SLX-10284,D701_D508,Mapped,72460864
SLX-10284,D702_D501,Mapped,78939044
